PM2.5,PM10,CO,O3,NH3,AQI,AQI_Category
83.13,118.45443537491555,6.93,59.76,23.84836627716501,209.0,Very Poor
79.84,118.45443537491555,13.85,97.07,23.84836627716501,328.0,Severe
80.65,118.45443537491555,2.37,47.3,23.84836627716501,294.0,Very Poor
58.36,118.45443537491555,2.6,53.54,23.84836627716501,149.0,Poor
79.29,118.45443537491555,1.16,59.3,23.84836627716501,190.0,Poor
88.7,118.45443537491555,7.29,44.76,23.84836627716501,247.0,Very Poor
74.28,118.45443537491555,8.92,47.42,23.84836627716501,379.0,Severe
113.93,118.45443537491555,4.32,39.94,23.84836627716501,341.0,Severe
105.39,118.45443537491555,1.41,56.15,23.84836627716501,256.0,Very Poor
66.52,118.45443537491555,6.34,53.14,23.84836627716501,388.0,Severe
65.04,118.45443537491555,14.19,31.88,23.84836627716501,288.0,Very Poor
113.25,118.45443537491555,15.55,33.78,23.84836627716501,475.0,Severe
80.61,118.45443537491555,15.96,36.2,23.84836627716501,479.0,Severe
107.99,118.45443537491555,11.25,31.94,23.84836627716501,427.0,Severe
118.72,118.45443537491555,12.56,38.8,23.84836627716501,411.0,Severe
52.99,118.45443537491555,2.23,67.25,23.84836627716501,292.0,Very Poor
60.78,118.45443537491555,9.07,34.75,23.84836627716501,189.0,Poor
91.83,118.45443537491555,12.99,38.46,23.84836627716501,408.0,Severe
93.88,118.45443537491555,18.21,46.79,23.84836627716501,383.0,Severe
71.56,118.45443537491555,3.51,57.16,23.84836627716501,190.0,Poor
119.8,118.45443537491555,4.13,50.49,23.84836627716501,233.0,Very Poor
106.71,118.45443537491555,5.39,60.17,23.84836627716501,297.0,Very Poor
118.49,118.45443537491555,4.11,53.61,23.84836627716501,330.0,Severe
106.01,118.45443537491555,4.28,40.91,23.84836627716501,252.0,Very Poor
97.34,118.45443537491555,3.67,45.69,23.84836627716501,244.0,Very Poor
83.92,118.45443537491555,6.42,34.94,23.84836627716501,234.0,Very Poor
49.51,118.45443537491555,3.1,37.95,23.84836627716501,219.0,Very Poor
30.76,118.45443537491555,2.72,54.78,23.84836627716501,118.0,Poor
50.29,118.45443537491555,5.34,45.44,23.84836627716501,231.0,Very Poor
57.69,118.45443537491555,25.36,52.87,23.84836627716501,286.0,Very Poor
147.38,118.45443537491555,6.4,17.94,23.84836627716501,437.0,Severe
158.25,118.45443537491555,5.86,38.54,23.84836627716501,321.0,Severe
237.76,118.45443537491555,4.99,39.77,23.84836627716501,372.0,Severe
133.37,118.45443537491555,3.88,39.66,23.84836627716501,339.0,Severe
133.3,118.45443537491555,6.52,59.03,23.84836627716501,339.0,Severe
96.04,118.45443537491555,3.8,46.61,23.84836627716501,324.0,Severe
77.69,118.45443537491555,5.24,27.14,23.84836627716501,222.0,Very Poor
53.07,118.45443537491555,4.17,21.76,23.84836627716501,169.0,Poor
63.11,118.45443537491555,5.63,4.72,23.84836627716501,220.0,Very Poor
120.96,118.45443537491555,4.23,35.66,23.84836627716501,303.0,Severe
138.63,118.45443537491555,5.65,29.77,23.84836627716501,314.0,Severe
144.36,118.45443537491555,15.82,27.34,23.84836627716501,378.0,Severe
85.03,118.45443537491555,3.3,35.89,23.84836627716501,415.0,Severe
61.06,118.45443537491555,3.52,19.54,23.84836627716501,126.0,Poor
39.42,118.45443537491555,5.28,31.3,23.84836627716501,175.0,Poor
111.86,118.45443537491555,3.89,31.23,23.84836627716501,226.0,Very Poor
58.37,118.45443537491555,5.74,43.92,23.84836627716501,244.0,Very Poor
95.37,118.45443537491555,18.01,41.64,23.84836627716501,315.0,Severe
109.48,118.45443537491555,4.3,31.34,23.84836627716501,285.0,Very Poor
126.04,118.45443537491555,6.99,28.71,23.84836627716501,321.0,Severe
71.22,118.45443537491555,16.73,28.39,23.84836627716501,358.0,Severe
97.87,118.45443537491555,6.3,34.16,23.84836627716501,357.0,Severe
63.38,118.45443537491555,3.44,43.62,23.84836627716501,189.0,Poor
80.9,118.45443537491555,5.7,22.8,23.84836627716501,214.0,Very Poor
103.29,118.45443537491555,4.55,22.18,23.84836627716501,253.0,Very Poor
107.5,118.45443537491555,5.29,10.12,23.84836627716501,239.0,Very Poor
138.42,118.45443537491555,5.05,27.18,23.84836627716501,300.0,Very Poor
129.04,118.45443537491555,5.69,18.67,23.84836627716501,317.0,Severe
96.65,118.45443537491555,4.67,11.83,23.84836627716501,240.0,Very Poor
126.77,118.45443537491555,15.69,36.71,23.84836627716501,344.0,Severe
86.31,118.45443537491555,2.69,90.54,23.84836627716501,308.0,Severe
83.99,118.45443537491555,2.73,69.57,23.84836627716501,227.0,Very Poor
65.11,118.45443537491555,3.14,32.26,23.84836627716501,120.0,Poor
51.03,118.45443537491555,6.24,31.44,23.84836627716501,158.0,Poor
38.73,118.45443537491555,8.0,25.7,23.84836627716501,177.0,Poor
61.12,118.45443537491555,9.94,25.9,23.84836627716501,201.0,Very Poor
58.44,118.45443537491555,10.68,18.89,23.84836627716501,211.0,Very Poor
61.49,118.45443537491555,11.44,18.2,23.84836627716501,221.0,Very Poor
65.39,118.45443537491555,12.3,22.35,23.84836627716501,233.0,Very Poor
100.92,118.45443537491555,20.42,22.84,23.84836627716501,481.0,Severe
97.48,118.45443537491555,5.31,16.26,23.84836627716501,352.0,Severe
129.27,118.45443537491555,14.28,25.4,23.84836627716501,327.0,Severe
100.57,118.45443537491555,7.56,38.83,23.84836627716501,411.0,Severe
130.34,118.45443537491555,7.14,29.05,23.84836627716501,212.0,Very Poor
53.24,118.45443537491555,8.05,21.58,23.84836627716501,280.0,Very Poor
42.0,118.45443537491555,10.44,25.5,23.84836627716501,162.0,Poor
38.88,118.45443537491555,2.18,12.47,23.84836627716501,128.0,Poor
46.89,118.45443537491555,2.96,10.74,23.84836627716501,129.0,Poor
70.96,118.45443537491555,4.12,16.01,23.84836627716501,152.0,Poor
53.66,118.45443537491555,4.23,45.64,23.84836627716501,176.0,Poor
45.49,118.45443537491555,4.26,71.85,23.84836627716501,167.0,Poor
60.86,118.45443537491555,5.27,41.19,23.84836627716501,106.0,Poor
51.93,118.45443537491555,13.71,12.88,23.84836627716501,231.0,Very Poor
77.87,118.45443537491555,6.67,16.67,23.84836627716501,327.0,Severe
57.59,118.45443537491555,5.6,25.51,23.84836627716501,174.0,Poor
77.22,118.45443537491555,7.02,9.56,23.84836627716501,185.0,Poor
45.29,118.45443537491555,7.25,6.32,23.84836627716501,179.0,Poor
103.78,118.45443537491555,6.36,15.27,23.84836627716501,211.0,Very Poor
25.14,118.45443537491555,6.01,38.52,23.84836627716501,192.0,Poor
87.03,118.45443537491555,8.05,48.22,23.84836627716501,310.0,Severe
89.6,118.45443537491555,6.59,44.78,23.84836627716501,223.0,Very Poor
80.69,118.45443537491555,6.86,32.65,23.84836627716501,192.0,Poor
44.75,118.45443537491555,7.76,8.07,23.84836627716501,191.0,Poor
38.11,118.45443537491555,7.41,6.69,23.84836627716501,184.0,Poor
45.5,118.45443537491555,8.56,3.82,23.84836627716501,220.0,Very Poor
36.98,118.45443537491555,8.21,5.17,23.84836627716501,215.0,Very Poor
43.58,118.45443537491555,8.26,7.56,23.84836627716501,226.0,Very Poor
45.49,118.45443537491555,9.63,2.94,23.84836627716501,251.0,Very Poor
38.06,118.45443537491555,8.67,4.63,23.84836627716501,216.0,Very Poor
45.41,118.45443537491555,9.35,4.5,23.84836627716501,237.0,Very Poor
37.71,118.45443537491555,8.54,4.6,23.84836627716501,198.0,Poor
32.37,118.45443537491555,7.53,12.17,23.84836627716501,195.0,Poor
34.74,118.45443537491555,7.59,12.22,23.84836627716501,187.0,Poor
32.56,118.45443537491555,7.34,11.85,23.84836627716501,181.0,Poor
29.28,118.45443537491555,7.55,12.64,23.84836627716501,179.0,Poor
20.46,118.45443537491555,7.15,12.7,23.84836627716501,188.0,Poor
26.07,118.45443537491555,7.99,10.57,23.84836627716501,190.0,Poor
21.43,118.45443537491555,7.45,7.38,23.84836627716501,185.0,Poor
11.91,118.45443537491555,7.34,5.47,23.84836627716501,189.0,Poor
57.75,118.45443537491555,8.68,3.06,23.84836627716501,196.0,Poor
66.39,118.45443537491555,8.58,4.96,23.84836627716501,201.0,Very Poor
62.61,118.45443537491555,9.15,6.44,23.84836627716501,231.0,Very Poor
47.5,118.45443537491555,8.07,7.28,23.84836627716501,196.0,Poor
111.8,118.45443537491555,9.23,5.99,23.84836627716501,220.0,Very Poor
30.0,118.45443537491555,8.87,6.31,23.84836627716501,244.0,Very Poor
4.66,118.45443537491555,9.01,6.38,23.84836627716501,223.0,Very Poor
48.72,118.45443537491555,9.56,6.61,23.84836627716501,230.0,Very Poor
49.7,118.45443537491555,9.43,6.42,23.84836627716501,243.0,Very Poor
48.1,118.45443537491555,8.03,7.6,23.84836627716501,215.0,Very Poor
47.43,118.45443537491555,8.11,7.08,23.84836627716501,199.0,Poor
51.74,118.45443537491555,8.91,5.78,23.84836627716501,200.0,Poor
42.68,118.45443537491555,9.74,4.44,23.84836627716501,226.0,Very Poor
38.45,118.45443537491555,10.55,3.24,23.84836627716501,241.0,Very Poor
46.69,118.45443537491555,11.48,5.76,23.84836627716501,222.0,Very Poor
55.27,118.45443537491555,11.55,6.55,23.84836627716501,223.0,Very Poor
